Day,Revenue,Split
349,9.9843748,Train
350,11.06398076,Train
351,10.71010619,Train
352,11.25761409,Train
353,10.60928267,Train
354,11.32932884,Train
355,11.16053242,Train
356,11.33996004,Train
357,11.54239828,Train
358,11.79270684,Train
359,11.70526835,Train
360,11.89753587,Train
361,11.78967252,Train
362,11.61994787,Train
363,11.96826033,Train
364,12.28792621,Train
365,12.43813368,Train
366,11.99189083,Train
367,11.85068671,Train
368,12.26622586,Train
369,11.15803183,Train
370,12.11997933,Train
371,11.76873233,Train
372,11.12803578,Train
373,10.86603266,Train
374,10.23757712,Train
375,10.14320748,Train
376,10.46689075,Train
377,10.69625935,Train
378,10.45534182,Train
379,10.83652579,Train
380,10.71043553,Train
381,11.51680064,Train
382,11.29962526,Train
383,12.04357266,Train
384,12.37934218,Train
385,12.06734366,Train
386,11.21216257,Train
387,10.75617064,Train
388,10.85446209,Train
389,10.62193078,Train
390,10.39052456,Train
391,11.32402028,Train
392,11.23435857,Train
393,10.63505592,Train
394,11.86507245,Train
395,11.64172029,Train
396,12.27268843,Train
397,12.12051353,Train
398,12.51634578,Train
399,11.95056055,Train
400,12.22118708,Train
401,12.27182008,Train
402,12.28144634,Train
403,12.05270478,Train
404,12.42338133,Train
405,11.85932698,Train
406,11.73912658,Train
407,11.92291,Train
408,12.157616,Train
409,11.79346872,Train
410,11.9430778,Train
411,11.36953639,Train
412,11.64293102,Train
413,10.89965094,Train
414,11.51358095,Train
415,10.95912682,Train
416,10.31231737,Train
417,10.77773788,Train
418,11.03581856,Train
419,11.04543669,Train
420,11.63735871,Train
421,11.84817774,Train
422,11.30317125,Train
423,10.85196452,Train
424,11.58185214,Train
425,10.9251649,Train
426,11.58242318,Train
427,11.714175,Train
428,11.85870991,Train
429,12.4743538,Train
430,13.28181359,Train
431,12.38885091,Train
432,12.69666202,Train
433,12.75891555,Train
434,12.79436534,Train
435,13.03626492,Train
436,12.61389051,Train
437,13.20618288,Train
438,11.33646421,Train
439,12.33494046,Train
440,12.2952658,Train
441,12.27980845,Train
442,12.42600982,Train
443,12.25776278,Train
444,11.87191996,Train
445,12.67618483,Train
446,12.1142837,Train
447,11.96338146,Train
448,12.44743229,Train
449,12.72511952,Train
450,12.5116333,Train
451,12.17234837,Train
452,11.97771742,Train
453,12.23245368,Train
454,12.37410985,Train
455,12.98195912,Train
456,12.49576931,Train
457,13.41855217,Train
458,12.310697,Train
459,11.70179391,Train
460,12.4746098,Train
461,12.30447328,Train
462,11.91232484,Train
463,12.06182155,Train
464,11.82917264,Train
465,11.82716412,Train
466,12.1895535,Train
467,11.78537286,Train
468,11.63884845,Train
469,11.63896413,Train
470,11.88642246,Train
471,11.85488462,Train
472,11.84609015,Train
473,11.74862167,Train
474,11.87811409,Train
475,12.20198435,Train
476,11.45912015,Train
477,12.34953765,Train
478,11.87079189,Train
479,12.42081087,Train
480,12.85218592,Train
481,12.79460121,Train
482,13.62608898,Train
483,13.22768706,Train
484,13.67048893,Train
485,13.02040072,Train
486,14.02855963,Train
487,13.70373558,Train
488,13.14141166,Train
489,14.58439135,Train
490,12.99860149,Train
491,13.94233027,Train
492,13.35883336,Train
493,13.14583676,Train
494,13.14194539,Train
495,13.78288481,Train
496,13.2471014,Train
497,12.91791795,Train
498,13.08170823,Train
499,12.56804083,Train
500,12.74694261,Train
501,12.35284367,Train
502,12.98090483,Train
503,12.90913353,Train
504,12.5920623,Train
505,12.53504785,Train
506,12.85674512,Train
507,12.26760949,Train
508,11.98661548,Train
509,12.52412042,Train
510,12.66745399,Train
511,12.25648214,Train
512,11.91079143,Train
513,11.78397433,Train
514,11.92127457,Train
515,12.158925,Train
516,11.81057468,Train
517,11.88975226,Train
518,11.69825461,Train
519,12.17167502,Train
520,11.82052751,Train
521,11.15347885,Train
522,11.23717709,Train
523,11.15107411,Train
524,11.08064513,Train
525,11.64138463,Train
526,11.64244469,Train
527,11.37726013,Train
528,12.70618117,Train
529,12.65099724,Train
530,12.6903084,Train
531,13.02786915,Train
532,12.80178234,Train
533,13.42265358,Train
534,12.80727665,Train
535,12.80567703,Train
536,11.92365881,Train
537,12.49031206,Train
538,12.71389921,Train
539,12.53482273,Train
540,13.43723176,Train
541,13.63800734,Train
542,12.95851121,Train
543,13.00209354,Train
544,12.19453438,Train
545,12.65658197,Train
546,12.26725363,Train
547,12.46538558,Train
548,11.52944628,Train
549,11.91740943,Train
550,11.38219886,Train
551,11.26626767,Train
552,11.76828749,Train
553,11.87538744,Train
554,12.58730685,Train
555,12.39629138,Train
556,12.80282887,Train
557,12.24385654,Train
558,12.67030902,Train
559,13.31219796,Train
560,13.31603826,Train
561,13.04627103,Train
562,12.75132567,Train
563,12.78686786,Train
564,13.44438984,Train
565,13.73178244,Train
566,13.10876341,Train
567,14.05092571,Train
568,13.78269338,Train
569,14.17450212,Train
570,14.56967641,Train
571,13.67098592,Train
572,13.98910617,Train
573,14.24029335,Train
574,13.93475205,Train
575,14.02469716,Train
576,14.41839801,Train
577,13.5356501,Train
578,13.66849178,Train
579,13.60088212,Train
580,13.93891958,Train
581,14.05218356,Train
582,13.52047837,Train
583,13.08264299,Train
584,13.50488575,Train
585,13.68482591,Test
586,13.15290319,Test
587,13.31029028,Test
588,12.66560082,Test
589,13.66065769,Test
590,13.22188221,Test
591,13.66726695,Test
592,13.90272062,Test
593,13.08160973,Test
594,14.04196943,Test
595,14.31322806,Test
596,15.11370708,Test
597,14.55937527,Test
598,14.47191087,Test
599,14.00773834,Test
600,14.38743999,Test
601,14.48840167,Test
602,14.65165077,Test
603,14.51457225,Test
604,14.92224878,Test
605,14.19465212,Test
606,14.1137927,Test
607,13.64436482,Test
608,14.57006597,Test
609,13.70952729,Test
610,14.0105535,Test
611,14.42484355,Test
612,13.71071969,Test
613,13.30590294,Test
614,13.70184262,Test
615,13.4939323,Test
616,13.60321536,Test
617,12.709116,Test
618,12.56578173,Test
619,12.29204511,Test
620,12.49372294,Test
621,12.22476014,Test
622,12.37883736,Test
623,11.86318822,Test
624,11.95917661,Test
625,11.6136404,Test
626,10.92231613,Test
627,10.69381706,Test
628,9.796640702,Test
629,10.02455082,Test
630,10.25129418,Test
631,10.16837721,Test
632,10.12922394,Test
633,10.03817646,Test
634,9.946258256,Test
635,9.819163247,Test
636,10.96613807,Test
637,10.27845019,Test
638,10.87216455,Test
639,10.58298221,Test
640,10.5051701,Test
641,10.58489695,Test
642,10.31046583,Test
643,10.18655992,Test
644,10.63566981,Test
645,10.58623485,Test
646,10.49470146,Test
647,10.53012782,Test
648,11.6697284,Test
649,10.93910566,Test
650,11.25043349,Test
651,11.10082439,Test
652,11.56193798,Test
653,12.00135944,Test
654,11.9636437,Test
655,12.67651716,Test
656,12.59589118,Test
657,13.50372538,Test
658,12.52480966,Test
659,13.58617103,Test
660,13.65152094,Test
661,13.50747349,Test
662,13.6003226,Test
663,12.91172575,Test
664,13.12942153,Test
665,12.88747154,Test
666,12.57004373,Test
667,12.38921609,Test
668,12.52303613,Test
669,12.78698765,Test
670,12.90053284,Test
671,13.72420584,Test
672,13.53927692,Test
673,12.96144201,Test
674,12.60190222,Test
675,13.19403382,Test
676,13.02494603,Test
677,11.95978435,Test
678,13.04856333,Test
679,12.09273847,Test
680,12.74880565,Test
681,12.15194817,Test
682,13.68801758,Test
683,12.68174728,Test
684,13.25007071,Test
685,12.52233421,Test
686,12.87797176,Test
687,12.74760906,Test
688,13.95946905,Test
689,12.95734948,Test
690,14.3575701,Test
691,14.31367533,Test
692,14.4417502,Test
693,14.89664447,Test
694,15.49596954,Test
695,15.12120536,Test
696,15.81472479,Test
697,14.95180243,Test
698,15.69224206,Test
699,15.32256273,Test
700,15.48148898,Test
701,15.0779299,Test
702,15.26982882,Test
703,15.56393486,Test
704,15.70968355,Test
705,16.27057613,Test
706,15.86464801,Test
707,16.79198088,Test
708,16.44669768,Test
709,15.57683314,Test
710,16.51737488,Test
711,16.79290034,Test
712,16.69296483,Test
713,17.15234138,Test
714,17.90318899,Test
715,17.47106673,Test
716,17.14585013,Test
717,17.94883403,Test
718,18.15476909,Test
719,17.76881703,Test
720,17.25084632,Test
721,17.95227784,Test
722,17.25593422,Test
723,17.58362651,Test
724,16.82175807,Test
725,17.45905614,Test
726,16.76127825,Test
727,16.93155866,Test
728,17.49066618,Test
729,16.80363798,Test
730,16.1948135,Test
731,16.6207985,Test
